Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
J1,1,SOIC-14,SOIC-14_3.9x8.7mm_P1.27mm,,,,smt,"Generic connector, double row, 02x07, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,DIP-14,DIP-14_W7.62mm,,,,tht,"Generic connector, double row, 02x07, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)"
