Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
J1,1,DIP-16 Socket,DIP-16_W7.62mm,,,,tht,"Generic connector, double row, 02x08, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,Breakout,PinHeader_2x08_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x08, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"
