Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
J1,1,40pin IC,DIP-40_W15.24mm,,,,tht,"Generic connector, double row, 02x20, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,Analyser Left,PinHeader_1x20_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)"
J3,1,Analyser Right,PinHeader_1x20_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)"
J4,1,IC Socket,DIP-40_W15.24mm_Socket,,,,tht,"Generic connector, double row, 02x20, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"
